artist,rank,song,year
The Jackson 5,86,Mama's Pearl,1971
The Buoys,87,Timothy,1971
The Partridge Family,88,I Woke Up In Love This Morning,1971
Isaac Hayes,89,Theme from Shaft,1971
Gladys Knight &amp; the Pips,90,If I Were Your Woman,1971
Neil Diamond,91,I Am...I Said,1971
Paul Stookey,92,The Wedding Song (There Is Love),1971
Wilson Pickett,93,Don't Knock My Love,1971
The Doors,94,Love Her Madly,1971
Richie Havens,95,Here Comes the Sun,1971
Wadsworth Mansion,96,"""Sweet Mary""",1971
Brenda &amp; the Tabulations,97,"""Right on the Tip of My Tongue""",1971
The 5th Dimension,98,One Less Bell to Answer,1971
The Doors,99,Riders on the Storm,1971
Perry Como,100,Somos Novios (It's Impossible),1971
Roberta Flack,1,The First Time Ever I Saw Your Face,1972
Gilbert O'Sullivan,2,Alone Again (Naturally),1972
Don McLean,3,American Pie,1972
Harry Nilsson,4,Without You,1972
Sammy Davis Jr.,5,The Candy Man,1972
Joe Tex,6,I Gotcha,1972
Bill Withers,7,Lean on Me,1972
Mac Davis,8,"Baby, Don't Get Hooked on Me",1972
Melanie,9,Brand New Key,1972
Wayne Newton,10,Daddy Don't You Walk So Fast,1972
Al Green,11,Let's Stay Together,1972
Looking Glass,12,Brandy (You're a Fine Girl),1972
The Chi-Lites,13,Oh Girl,1972
Gallery,14,Nice to Be with You,1972
Chuck Berry,15,My Ding-a-Ling,1972
Luther Ingram,16,(If Loving You Is Wrong) I Don't Want to Be Right,1972
Neil Young,17,Heart of Gold,1972
The Stylistics,18,"Betcha by Golly, Wow",1972
The Staple Singers,19,I'll Take You There,1972
Michael Jackson,20,Ben,1972
Robert John,21,The Lion Sleeps Tonight,1972
Billy Preston,22,Outa-Space,1972
War,23,"""Slippin' Into Darkness""",1972
The Hollies,24,Long Cool Woman in a Black Dress,1972
Mouth &amp; MacNeal,25,How Do You Do,1972
Neil Diamond,26,Song Sung Blue,1972
America,27,A Horse with No Name,1972
Hot Butter,28,Popcorn,1972
The Main Ingredient,29,Everybody Plays the Fool,1972
Climax,30,Precious and Few,1972
The 5th Dimension,31,(Last Night) I Didn't Get to Sleep at All,1972
The Moody Blues,32,Nights in White Satin,1972
Raspberries,33,Go All the Way,1972
Cornelius Brothers &amp; Sister Rose,34,Too Late to Turn Back Now,1972
The O'Jays,35,Back Stabbers,1972
The Osmonds,36,Down by the Lazy River,1972
Jonathan Edwards,37,Sunshine,1972
Mel and Tim,38,Starting All Over Again,1972
Badfinger,39,Day After Day,1972
Elton John,40,Rocket Man,1972
Michael Jackson,41,Rockin' Robin,1972
Daniel Boone,42,Beautiful Sunday,1972
Dennis Coffey,43,Scorpio,1972
Cat Stevens,44,Morning Has Broken,1972
Arlo Guthrie,45,City of New Orleans,1972
Ricky Nelson,46,Garden Party,1972
Johnny Nash,47,I Can See Clearly Now,1972
Elvis Presley,48,Burning Love,1972
Betty Wright,49,Clean Up Woman,1972
Argent,50,Hold Your Head Up,1972
The Chakachas,51,Jungle Fever,1972
Bread,52,Everything I Own,1972
The Dramatics,53,In the Rain,1972
Al Green,54,Look What You Done for Me,1972
Donna Fargo,55,The Happiest Girl in the Whole U.S.A.,1972
T. Rex,56,Get It On,1972
Paul Simon,57,Mother and Child Reunion,1972
Roberta Flack,58,Where Is the Love,1972
Al Green,59,I'm Still in Love with You,1972
Derek and the Dominos,60,Layla,1972
Aretha Franklin,61,Day Dreaming,1972
Cher,62,The Way of Love,1972
Three Dog Night,63,Black and White,1972
Dr. Hook &amp; The Medicine Show,64,Sylvia's Mother,1972
The Carpenters,65,Hurting Each Other,1972
Harry Nilsson,66,Coconut,1972
Donny Osmond,67,Puppy Love,1972
Jim Croce,68,You Don't Mess Around with Jim,1972
Commander Cody and His Lost Planet Airmen,69,Hot Rod Lincoln,1972
Sonny &amp; Cher,70,A Cowboy's Work Is Never Done,1972
Apollo 100,71,"""Joy""",1972
Carly Simon,72,Anticipation,1972
Three Dog Night,73,Never Been to Spain,1972
Charley Pride,74,Kiss an Angel Good Mornin',1972
Alice Cooper,75,School's Out,1972
Chicago,76,Saturday in the Park,1972
Joe Simon,77,Drowning in the Sea of Love,1972
Bill Withers,78,Use Me,1972
Sly &amp; the Family Stone,79,Family Affair,1972
The Jimmy Castor Bunch,80,Troglodyte (Cave Man),1972
Redbone,81,The Witch Queen of New Orleans,1972
Curtis Mayfield,82,Freddie's Dead,1972
Joe Simon,83,Power of Love,1972
Jerry Butler,84,"""Ain't Understanding Mellow""",1972
Harry Chapin,85,Taxi,1972
Beverly Bremers,86,Don't Say You Don't Remember,1972
Bobby Vinton,87,Sealed with a Kiss,1972
Todd Rundgren,88,I Saw the Light,1972
Sailcat,89,"""Motorcycle Mama""",1972
Godspell,90,Day by Day,1972
Yes,91,Roundabout,1972
Jackson Browne,92,Doctor My Eyes,1972
The New Seekers,93,I'd Like to Teach the World to Sing (In Perfect Harmony),1972
Don McLean,94,Vincent,1972
The Detroit Emeralds,95,Baby Let Me Take You (In My Arms),1972
Rick Springfield,96,"""Speak to the Sky""",1972
The Hillside Singers,97,I'd Like to Teach the World to Sing (In Perfect Harmony),1972
Love Unlimited,98,Walkin' in the Rain with the One I Love,1972
James Brown,99,Get on the Good Foot,1972
The Isley Brothers,100,Pop That Thang,1972
Tony Orlando and Dawn,1,Tie a Yellow Ribbon Round the Ole Oak Tree,1973
Jim Croce,2,"Bad, Bad Leroy Brown",1973
Roberta Flack,3,Killing Me Softly with His Song,1973
Marvin Gaye,4,Let's Get It On,1973
Paul McCartney &amp; Wings,5,My Love,1973
Kris Kristofferson,6,Why Me,1973
Elton John,7,Crocodile Rock,1973
Billy Preston,8,Will It Go Round in Circles,1973
Carly Simon,9,You're So Vain,1973
Diana Ross,10,Touch Me in the Morning,1973
Vicki Lawrence,11,The Night the Lights Went Out in Georgia,1973
Clint Holmes,12,Playground in My Mind,1973
Stories,13,Brother Louie,1973
Helen Reddy,14,Delta Dawn,1973
Billy Paul,15,Me and Mrs. Jones,1973
The Edgar Winter Group,16,Frankenstein,1973
Dobie Gray,17,Drift Away,1973
Sweet,18,Little Willy,1973
Stevie Wonder,19,You Are the Sunshine of My Life,1973
Cher,20,Half-Breed,1973
The Isley Brothers,21,That Lady,1973
Sylvia,22,Pillow Talk,1973
Grand Funk Railroad,23,We're an American Band,1973
Dr. John,24,Right Place Wrong Time,1973
Skylark,25,Wildflower,1973
Stevie Wonder,26,Superstition,1973
Paul Simon,27,Loves Me Like a Rock,1973
Maureen McGovern,28,The Morning After,1973
John Denver,29,Rocky Mountain High,1973
Stealers Wheel,30,Stuck in the Middle with You,1973
Three Dog Night,31,Shambala,1973
The O'Jays,32,Love Train,1973
Barry White,33,I'm Gonna Love You Just a Little More Baby,1973
Tony Orlando and Dawn,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",1973
Eddie Kendricks,35,Keep on Truckin',1973
Anne Murray,36,Danny's Song,1973
King Harvest,37,Dancing in the Moonlight,1973
Bobby 'Boris' Pickett,38,Monster Mash,1973
Bloodstone,39,Natural High,1973
Seals and Crofts,40,Diamond Girl,1973
The Doobie Brothers,41,Long Train Runnin',1973
George Harrison,42,Give Me Love (Give Me Peace on Earth),1973
Sly &amp; the Family Stone,43,If You Want Me to Stay,1973
Jermaine Jackson,44,Daddy's Home,1973
Gladys Knight &amp; the Pips,45,Neither One of Us (Wants to Be the First to Say Goodbye),1973
New York City,46,I'm Doin' Fine Now,1973
The Spinners,47,Could It Be I'm Falling in Love,1973
Elton John,48,Daniel,1973
Gladys Knight &amp; the Pips,49,Midnight Train to Georgia,1973
Deep Purple,50,Smoke on the Water,1973
Dr. Hook &amp; The Medicine Show,51,The Cover of the Rolling Stone,1973
Charlie Rich,52,Behind Closed Doors,1973
Loggins and Messina,53,Your Mama Don't Dance,1973
Chicago,54,Feelin' Stronger Every Day,1973
War,55,The Cisco Kid,1973
Paul McCartney &amp; Wings,56,Live and Let Die,1973
Hurricane Smith,57,"Oh, Babe, What Would You Say?",1973
Johnnie Taylor,58,I Believe in You (You Believe in Me),1973
The Carpenters,59,Sing,1973
The Four Tops,60,Ain't No Woman (Like the One I've Got),1973
Eric Weissberg,61,Dueling Banjos,1973
Stevie Wonder,62,Higher Ground,1973
Al Green,63,Here I Am (Come and Take Me),1973
B.W. Stevenson,64,My Maria,1973
Curtis Mayfield,65,Superfly,1973
Edward Bear,66,Last Song,1973
Gilbert O'Sullivan,67,Get Down,1973
Steely Dan,68,Reelin' in the Years,1973
Focus,69,Hocus Pocus,1973
The Carpenters,70,Yesterday Once More,1973
Bette Midler,71,Boogie Woogie Bugle Boy,1973
Gilbert O'Sullivan,72,Clair,1973
Steely Dan,73,Do It Again,1973
Paul Simon,74,Kodachrome,1973
Timmy Thomas,75,Why Can't We Live Together,1973
Bette Midler,76,Do You Wanna Dance?,1973
Tower of Power,77,So Very Hard to Go,1973
Johnny Rivers,78,Rockin' Pneumonia and the Boogie Woogie Flu,1973
The Allman Brothers Band,79,Ramblin' Man,1973
The Temptations,80,Masterpiece,1973
Helen Reddy,81,Peaceful,1973
The Spinners,82,One of a Kind (Love Affair),1973
Donna Fargo,83,Funny Face,1973
Ohio Players,84,Funky Worm,1973
The Rolling Stones,85,Angie,1973
Blue Ridge Rangers,86,Jambalaya (On the Bayou),1973
Lobo,87,Don't Expect Me to Be Your Friend,1973
The Stylistics,88,Break Up to Make Up,1973
Jud Strunk,89,Daisy a Day,1973
Deodato,90,Also Sprach Zarathustra (2001),1973
Johnny Nash,91,Stir It Up,1973
Pink Floyd,92,Money,1973
War,93,"""Gypsy Man""",1973
War,94,"""The World Is a Ghetto""",1973
The Pointer Sisters,95,Yes We Can Can,1973
The Edgar Winter Group,96,Free Ride,1973
David Bowie,97,Space Oddity,1973
Albert Hammond,98,It Never Rains in Southern California,1973
Donny Osmond,99,The Twelfth of Never,1973
The Temptations,100,Papa Was a Rollin' Stone,1973
Barbra Streisand,1,The Way We Were,1974
Terry Jacks,2,Seasons in the Sun,1974
Love Unlimited Orchestra,3,Love's Theme,1974
Redbone,4,Come and Get Your Love,1974
The Jackson 5,5,Dancing Machine,1974
Grand Funk Railroad,6,The Loco-Motion,1974
MFSB,7,TSOP (The Sound of Philadelphia),1974
Ray Stevens,8,The Streak,1974
Elton John,9,Bennie and the Jets,1974
Mac Davis,10,One Hell of a Woman,1974
Aretha Franklin,11,Until You Come Back to Me (That's What I'm Gonna Do),1974
Kool &amp; the Gang,12,Jungle Boogie,1974
Maria Muldaur,13,Midnight at the Oasis,1974
The Stylistics,14,You Make Me Feel Brand New,1974
Al Wilson,15,Show and Tell,1974
Jim Stafford,16,Spiders and Snakes,1974
David Essex,17,Rock On,1974
John Denver,18,Sunshine on My Shoulders,1974
Blue Magic,19,Sideshow,1974
Blue Swede,20,Hooked on a Feeling,1974
Bo Donaldson and The Heywoods,21,Billy Don't Be a Hero,1974
Paul McCartney and Wings,22,Band on the Run,1974
Charlie Rich,23,The Most Beautiful Girl,1974
Jim Croce,24,Time in a Bottle,1974
John Denver,25,Annie's Song,1974
Olivia Newton-John,26,Let Me Be There,1974
Gordon Lightfoot,27,Sundown,1974
Paul Anka,28,(You're) Having My Baby,1974
Andy Kim,29,Rock Me Gently,1974
Eddie Kendricks,30,Boogie Down,1974
Ringo Starr,31,You're Sixteen,1974
Olivia Newton-John,32,If You Love Me (Let Me Know),1974
Cher,33,Dark Lady,1974
Gladys Knight &amp; the Pips,34,Best Thing That Ever Happened to Me,1974
Roberta Flack,35,Feel Like Makin' Love,1974
The Main Ingredient,36,Just Don't Want to Be Lonely,1974
Billy Preston,37,Nothing from Nothing,1974
George McCrae,38,Rock Your Baby,1974
The Carpenters,39,Top of the World,1974
Steve Miller Band,40,The Joker,1974
Gladys Knight &amp; the Pips,41,I've Got to Use My Imagination,1974
Three Dog Night,42,The Show Must Go On,1974
The Hues Corporation,43,Rock the Boat,1974
Brownsville Station,44,Smokin' in the Boys Room,1974
Stevie Wonder,45,Living for the City,1974
Paper Lace,46,The Night Chicago Died,1974
Dionne Warwick,47,Then Came You,1974
Marvin Hamlisch,48,The Entertainer,1974
ABBA,49,Waterloo,1974
The Hollies,50,The Air That I Breathe,1974
Steely Dan,51,Rikki Don't Lose That Number,1974
Carly Simon,52,Mockingbird,1974
Joni Mitchell,53,Help Me,1974
Anne Murray,54,You Won't See Me,1974
Barry White,55,"Never, Never Gonna Give You Up",1974
Rufus,56,Tell Me Something Good,1974
Helen Reddy,57,You and Me Against the World,1974
The Righteous Brothers,58,Rock and Roll Heaven,1974
Kool &amp; the Gang,59,Hollywood Swinging,1974
William DeVaughn,60,Be Thankful for What You Got,1974
Johnny Bristol,61,Hang on in There Baby,1974
Mocedades,62,Eres tú,1974
Bachman-Turner Overdrive,63,Takin' Care of Business,1974
Golden Earring,64,Radar Love,1974
Dave Loggins,65,Please Come to Boston,1974
Wet Willie,66,Keep on Smilin',1974
Bobby Womack,67,Lookin' for a Love,1974
The O'Jays,68,Put Your Hands Together,1974
Gladys Knight &amp; the Pips,69,"""On and On""",1974
Cat Stevens,70,Oh Very Young,1974
Helen Reddy,71,Leave Me Alone (Ruby Red Dress),1974
Elton John,72,Goodbye Yellow Brick Road,1974
Chicago,73,(I've Been) Searchin' So Long,1974
Ringo Starr,74,Oh My My,1974
The O'Jays,75,For the Love of Money,1974
Eric Clapton,76,I Shot the Sheriff,1974
Paul McCartney and Wings,77,Jet,1974
Elton John,78,Don't Let the Sun Go Down on Me,1974
Mike Oldfield,79,Tubular Bells,1974
Anne Murray,80,A Love Song,1974
Donny,81,I'm Leaving It Up to You,1974
Todd Rundgren,82,Hello It's Me,1974
Tom T. Hall,83,I Love,1974
The Guess Who,84,Clap for the Wolfman,1974
Jim Croce,85,I'll Have to Say I Love You in a Song,1974
Sister Janet Mead,86,The Lord's Prayer,1974
Lamont Dozier,87,"""Trying To Hold On To My Woman""",1974
Stevie Wonder,88,Don't You Worry 'bout a Thing,1974
Charlie Rich,89,A Very Special Love Song,1974
Jim Stafford,90,My Girl Bill,1974
Paul McCartney and Wings,91,Helen Wheels,1974
Diana Ross,92,My Mistake (Was to Love You),1974
Jim Stafford,93,Wildwood Weed,1974
The First Class,94,Beach Baby,1974
War,95,"""Me and Baby Brother""",1974
The Stylistics,96,"""Rockin' Roll Baby""",1974
Olivia Newton-John,97,I Honestly Love You,1974
Chicago,98,Call on Me,1974
Fancy,99,Wild Thing,1974
The Spinners,100,Mighty Love,1974
Captain &amp; Tennille,1,Love Will Keep Us Together,1975
Glen Campbell,2,Rhinestone Cowboy,1975
Elton John,3,Philadelphia Freedom,1975
Freddy Fender,4,Before the Next Teardrop Falls,1975
Frankie Valli,5,My Eyes Adored You,1975
Grand Funk,6,Some Kind of Wonderful,1975
"Earth, Wind &amp; Fire",7,Shining Star,1975
David Bowie,8,Fame,1975
Neil Sedaka,9,Laughter in the Rain,1975
Eagles,10,One of These Nights,1975
John Denver,11,Thank God I'm a Country Boy,1975
Bee Gees,12,Jive Talkin',1975
Eagles,13,Best of My Love,1975
Minnie Riperton,14,Lovin' You,1975
Carl Douglas,15,Kung Fu Fighting,1975
The Doobie Brothers,16,Black Water,1975
Sweet,17,The Ballroom Blitz,1975
B.J. Thomas,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,1975
Tony Orlando and Dawn,19,He Don't Love You (Like I Love You),1975
Janis Ian,20,At Seventeen,1975
Average White Band,21,Pick Up the Pieces,1975
Van McCoy,22,The Hustle,1975
Labelle,23,Lady Marmalade,1975
War,24,Why Can't We Be Friends?,1975
Major Harris,25,Love Won't Let Me Wait,1975
Stevie Wonder,26,Boogie On Reggae Woman,1975
Helen Reddy,27,Angie Baby,1975
Freddy Fender,28,Wasted Days and Wasted Nights,1975
The Isley Brothers,29,Fight the Power,1975
Ozark Mountain Daredevils,30,Jackie Blue,1975
Ohio Players,31,Fire,1975
Pilot,32,Magic,1975
The Carpenters,33,Please Mr. Postman,1975
America,34,Sister Golden Hair,1975
Elton John,35,Lucy in the Sky with Diamonds,1975
Barry Manilow,36,Mandy,1975
Olivia Newton-John,37,Have You Never Been Mellow,1975
Barry Manilow,38,Could It Be Magic,1975
Harry Chapin,39,Cat's in the Cradle,1975
Michael Martin Murphey,40,Wildfire,1975
Jessi Colter,41,I'm Not Lisa,1975
Wings,42,Listen to What the Man Said,1975
10cc,43,I'm Not in Love,1975
Billy Swan,44,I Can Help,1975
"Hamilton, Joe Frank &amp; Reynolds",45,Fallin' in Love,1975
Morris Albert,46,Feelings,1975
Linda Ronstadt,47,When Will I Be Loved,1975
Sammy Johns,48,Chevy Van,1975
Barry White,49,"You're the First, the Last, My Everything",1975
Olivia Newton-John,50,Please Mr. Please,1975
Linda Ronstadt,51,You're No Good,1975
Bazuka,52,Dynomite,1975
The Blackbyrds,53,Walking in Rhythm,1975
Gladys Knight &amp; the Pips,54,The Way We Were,1975
Melissa Manchester,55,Midnight Blue,1975
Sugarloaf,56,"Don't Call Us, We'll Call You",1975
Phoebe Snow,57,Poetry Man,1975
Ace,58,How Long?,1975
B.T. Express,59,Express,1975
"Earth, Wind &amp; Fire",60,That's the Way of the World,1975
Styx,61,Lady,1975
Grand Funk,62,Bad Time,1975
Alice Cooper,63,Only Women Bleed,1975
Carol Douglas,64,Doctor's Orders,1975
KC and the Sunshine Band,65,Get Down Tonight,1975
Paul Anka,66,"""One Man Woman/One Woman Man""",1975
Joe Cocker,67,You Are So Beautiful,1975
Bad Company,68,Feel Like Makin' Love,1975
James Taylor,69,How Sweet It Is (To Be Loved by You),1975
Orleans,70,Dance with Me,1975
Average White Band,71,"""Cut the Cake""",1975
Gloria Gaynor,72,Never Can Say Goodbye,1975
Paul Anka,73,"""I Don't Like to Sleep Alone""",1975
Donny,74,Morning Side of the Mountain,1975
The Three Degrees,75,When Will I See You Again,1975
Joe Simon,76,"Get Down, Get Down (Get on the Floor)",1975
John Denver,77,I'm Sorry,1975
Queen,78,Killer Queen,1975
Eddie Kendricks,79,Shoeshine Boy,1975
B.T. Express,80,Do It ('Til You're Satisfied),1975
Electric Light Orchestra,81,Can't Get It Out of My Head,1975
Al Green,82,"""Sha-La-La (Make Me Happy)""",1975
America,83,Lonely People,1975
Rufus,84,You Got the Love,1975
Mike Post,85,The Rockford Files Theme,1975
Tavares,86,It Only Takes a Minute,1975
Ringo Starr,87,No No Song,1975
Paul McCartney &amp; Wings,88,Junior's Farm,1975
Jethro Tull,89,Bungle in the Jungle,1975
Leo Sayer,90,"""Long Tall Glasses (I Can Dance)""",1975
Ray Stevens,91,Misty,1975
Elton John,92,Someone Saved My Life Tonight,1975
Neil Sedaka,93,Bad Blood,1975
The Carpenters,94,Only Yesterday,1975
Dwight Twilley Band,95,I'm on Fire,1975
Ringo Starr,96,Only You (And You Alone),1975
Amazing Rhythm Aces,97,Third Rate Romance,1975
BachmanTurner Overdrive,98,You Ain't Seen Nothing Yet,1975
Frankie Valli,99,Swearin' to God,1975
Disco-Tex and the Sex-O-Lettes,100,Get Dancin',1975
Wings,1,Silly Love Songs,1976
Elton John,2,Don't Go Breaking My Heart,1976
Johnnie Taylor,3,Disco Lady,1976
The Four Seasons,4,"December, 1963 (Oh, What a Night)",1976
Wild Cherry,5,Play That Funky Music,1976
The Manhattans,6,Kiss and Say Goodbye,1976
The Miracles,7,Love Machine,1976
Paul Simon,8,50 Ways to Leave Your Lover,1976
Gary Wright,9,Love Is Alive,1976
Walter Murphy,10,A Fifth of Beethoven,1976
Hall &amp; Oates,11,Sara Smile,1976
Starland Vocal Band,12,Afternoon Delight,1976
Barry Manilow,13,I Write the Songs,1976
Silver Convention,14,"Fly, Robin, Fly",1976
Diana Ross,15,Love Hangover,1976
Seals and Crofts,16,Get Closer,1976
Andrea True Connection,17,"More, More, More",1976
Queen,18,Bohemian Rhapsody,1976
Dorothy Moore,19,Misty Blue,1976
The Sylvers,20,Boogie Fever,1976
England Dan &amp; John Ford Coley,21,I'd Really Love to See You Tonight,1976
Hot Chocolate,22,You Sexy Thing,1976
Nazareth,23,Love Hurts,1976
Silver Convention,24,Get Up and Boogie,1976
Eagles,25,Take It to the Limit,1976
KC and the Sunshine Band,26,"(Shake, Shake, Shake) Shake Your Booty",1976
Commodores,27,Sweet Love,1976
Maxine Nightingale,28,Right Back Where We Started From,1976
Rhythm Heritage,29,Theme from <i>S.W.A.T.</i>,1976
Ohio Players,30,Love Rollercoaster,1976
Bee Gees,31,You Should Be Dancing,1976
Lou Rawls,32,You'll Never Find Another Love Like Mine,1976
David Bowie,33,Golden Years,1976
Starbuck,34,Moonlight Feels Right,1976
Dr. Hook,35,Only Sixteen,1976
The Bellamy Brothers,36,Let Your Love Flow,1976
Gary Wright,37,Dream Weaver,1976
Vicki Sue Robinson,38,Turn the Beat Around,1976
Captain &amp; Tennille,39,Lonely Night (Angel Face),1976
Eric Carmen,40,All by Myself,1976
Donna Summer,41,Love to Love You Baby,1976
Donny,42,Deep Purple,1976
Diana Ross,43,Theme from <i>Mahogany</i> (Do You Know Where You're Going To),1976
Rufus,44,Sweet Thing,1976
KC and the Sunshine Band,45,That's the Way (I Like It),1976
Dr. Hook,46,A Little Bit More,1976
Henry Gross,47,Shannon,1976
Chicago,48,If You Leave Me Now,1976
Boz Scaggs,49,Lowdown,1976
Peter Frampton,50,Show Me the Way,1976
Aerosmith,51,Dream On,1976
The O'Jays,52,I Love Music,1976
Fleetwood Mac,53,Say You Love Me,1976
Paul Anka,54,Times of Your Life,1976
Cliff Richard,55,Devil Woman,1976
Elvin Bishop,56,Fooled Around and Fell in Love,1976
C. W. McCall,57,Convoy,1976
John Sebastian,58,Welcome Back,1976
"Earth, Wind &amp; Fire",59,Sing a Song,1976
Tavares,60,Heaven Must Be Missing an Angel,1976
The Brothers Johnson,61,I'll Be Good to You,1976
The Beach Boys,62,Rock and Roll Music,1976
Captain &amp; Tennille,63,Shop Around,1976
Bay City Rollers,64,Saturday Night,1976
Elton John,65,Island Girl,1976
The Staple Singers,66,Let's Do It Again,1976
Wings,67,Let 'Em In,1976
Wing and a Prayer Fife and Drum Corps,68,Baby Face,1976
George Benson,69,This Masquerade,1976
Electric Light Orchestra,70,Evil Woman,1976
Silver,71,Wham Bam,1976
Keith Carradine,72,I'm Easy,1976
Harold Melvin &amp; the Blue Notes,73,Wake Up Everybody,1976
War,74,Summer,1976
John Travolta,75,Let Her In,1976
Sweet,76,Fox on the Run,1976
Fleetwood Mac,77,Rhiannon,1976
The Beatles,78,Got to Get You into My Life,1976
Bee Gees,79,Fanny (Be Tender with My Love),1976
"Earth, Wind &amp; Fire",80,Getaway,1976
Hall &amp; Oates,81,She's Gone,1976
Orleans,82,Still the One,1976
Queen,83,You're My Best Friend,1976
Jefferson Starship,84,With Your Love,1976
Foghat,85,Slow Ride,1976
Ohio Players,86,Who'd She Coo?,1976
Thin Lizzy,87,The Boys Are Back in Town,1976
David Ruffin,88,Walk Away from Love,1976
Peter Frampton,89,"Baby, I Love Your Way (Live)",1976
Candi Staton,90,Young Hearts Run Free,1976
Neil Sedaka,91,Breaking Up Is Hard to Do,1976
Bay City Rollers,92,Money Honey,1976
Parliament,93,Give Up the Funk (Tear the Roof off the Sucker),1976
Larry Groce,94,Junk Food Junkie,1976
Barry Manilow,95,Tryin' to Get the Feeling Again,1976
Kiss,96,Rock and Roll All Nite,1976
Rick Dees,97,Disco Duck,1976
Steve Miller Band,98,Take the Money and Run,1976
The Who,99,Squeeze Box,1976
Glen Campbell,100,Country Boy (You Got Your Feet in L.A.),1976
Rod Stewart,1,Tonight's the Night (Gonna Be Alright),1977
Andy Gibb,2,I Just Want to Be Your Everything,1977
The Emotions,3,Best of My Love,1977
Barbra Streisand,4,Evergreen (Love Theme from <i>A Star Is Born</i>),1977
Hot,5,Angel in Your Arms,1977
Kenny Nolan,6,I Like Dreamin',1977
Thelma Houston,7,Don't Leave Me This Way,1977
Rita Coolidge,8,(Your Love Has Lifted Me) Higher and Higher,1977
Alan O'Day,9,Undercover Angel,1977
Mary MacGregor,10,Torn Between Two Lovers,1977
KC and the Sunshine Band,11,I'm Your Boogie Man,1977
ABBA,12,Dancing Queen,1977
Leo Sayer,13,You Make Me Feel Like Dancing,1977
Jimmy Buffett,14,Margaritaville,1977
Electric Light Orchestra,15,Telephone Line,1977
Pablo Cruise,16,Whatcha Gonna Do?,1977
Peter McCann,17,Do You Wanna Make Love,1977
Stevie Wonder,18,Sir Duke,1977
Eagles,19,Hotel California,1977
Marvin Gaye,20,Got to Give It Up,1977
Bill Conti,21,Gonna Fly Now,1977
Glen Campbell,22,Southern Nights,1977
Hall &amp; Oates,23,Rich Girl,1977
Leo Sayer,24,When I Need You,1977
The Sylvers,25,Hot Line,1977
Rose Royce,26,Car Wash,1977
Marilyn McCoo,27,You Don't Have to Be a Star (To Be in My Show),1977
Steve Miller Band,28,Fly Like an Eagle,1977
David Soul,29,Don't Give Up on Us,1977
Stephen Bishop,30,On and On,1977
Foreigner,31,Feels Like the First Time,1977
Climax Blues Band,32,Couldn't Get It Right,1977
Commodores,33,Easy,1977
Jennifer Warnes,34,Right Time of the Night,1977
Natalie Cole,35,I've Got Love on My Mind,1977
Manfred Mann's Earth Band,36,Blinded by the Light,1977
Barry Manilow,37,Looks Like We Made It,1977
Atlanta Rhythm Section,38,So in to You,1977
Fleetwood Mac,39,Dreams,1977
The Jacksons,40,Enjoy Yourself,1977
Brick,41,Dazz,1977
Peter Frampton,42,I'm in You,1977
Kenny Rogers,43,Lucille,1977
10cc,44,The Things We Do for Love,1977
Shaun Cassidy,45,Da Doo Ron Ron,1977
James Taylor,46,Handy Man,1977
"Crosby, Stills &amp; Nash",47,Just a Song Before I Go,1977
Alice Cooper,48,You and Me,1977
Johnny Rivers,49,Swayin' to the Music (Slow Dancing),1977
Andrew Gold,50,Lonely Boy,1977
Stevie Wonder,51,I Wish,1977
Fleetwood Mac,52,Don't Stop,1977
Heart,53,Barracuda,1977
The Brothers Johnson,54,Strawberry Letter 23,1977
Bob Seger &amp; The Silver Bullet Band,55,Night Moves,1977
Helen Reddy,56,You're My World,1977
The Marshall Tucker Band,57,Heard It in a Love Song,1977
Kansas,58,Carry On Wayward Son,1977
Eagles,59,New Kid in Town,1977
Barbra Streisand,60,My Heart Belongs to Me,1977
Engelbert Humperdinck,61,After the Lovin',1977
Steve Miller Band,62,Jet Airliner,1977
Burton Cummings,63,Stand Tall,1977
Elvis Presley,64,Way Down,1977
Barry Manilow,65,Weekend in New England,1977
Ronnie Milsap,66,It Was Almost Like a Song,1977
Sanford-Townsend Band,67,"""Smoke from a Distant Fire""",1977
Foreigner,68,Cold as Ice,1977
Dean Friedman,69,Ariel,1977
Bread,70,Lost Without Your Love,1977
Meco,71,Star Wars Theme/Cantina Band,1977
The Floaters,72,Float On,1977
Lord David Dundas,73,Jeans On,1977
Boz Scaggs,74,Lido Shuffle,1977
KC and the Sunshine Band,75,Keep It Comin' Love,1977
Bay City Rollers,76,You Made Me Believe in Magic,1977
Electric Light Orchestra,77,Livin' Thing,1977
Supertramp,78,Give a Little Bit,1977
Shaun Cassidy,79,That's Rock 'n' Roll,1977
Bee Gees,80,Love So Right,1977
The Spinners,81,The Rubberband Man,1977
Alice Cooper,82,I Never Cry,1977
Carly Simon,83,Nobody Does It Better,1977
The Sylvers,84,High School Dance,1977
Kenny Nolan,85,Love's Grown Deep,1977
Joe Tex,86,Ain't Gonna Bump No More (With No Big Fat Woman),1977
Rose Royce,87,I Wanna Get Next to You,1977
Queen,88,Somebody to Love,1977
Captain &amp; Tennille,89,Muskrat Love,1977
Aerosmith,90,Walk This Way,1977
Dr. Buzzard's Original Savannah Band,91,Cherchez La Femme,1977
Al Stewart,92,Year of the Cat,1977
Heatwave,93,Boogie Nights,1977
